code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank,Underlying,symbol_TV,symbol_TV_1
FEDERALBNK,5000,1,150000,Finance,Regional Banks,,,,,FEDERAL BANK LTD                    ,FEDERALBNK,NSE:FEDERALBNK!1
GAIL,4575,1,183000,Utilities,Gas Distributors,,,,,GAIL (INDIA) LTD                    ,GAIL,NSE:GAIL!1
GLENMARK,725,10,29000,Health Technology,Pharmaceuticals: Major,,,,,GLENMARK PHARMACEUTICALS            ,GLENMARK,NSE:GLENMARK!1
GMRINFRA,11250,1,337500,Transportation,Other Transportation,,,,,GMR AIRPORTS INFRA LTD              ,GMRINFRA,NSE:GMRINFRA!1
GNFC,1300,10,39000,Process Industries,Chemicals: Specialty,,,,,GUJ NAR VAL FER & CHEM L            ,GNFC,NSE:GNFC!1
GODREJCP,500,10,20000,Consumer Non-Durables,Household/Personal Care,,,,,GODREJ CONSUMER PRODUCTS            ,GODREJCP,NSE:GODREJCP!1
GODREJPROP,475,20,14250,Finance,Real Estate Development,,,,,GODREJ PROPERTIES LTD               ,GODREJPROP,NSE:GODREJPROP!1
GRASIM,477,20,14310,Non-Energy Minerals,Construction Materials,,,,,GRASIM INDUSTRIES LTD               ,GRASIM,NSE:GRASIM!1
HCLTECH,700,10,21000,Technology Services,Information Technology Services,,,,,HCL TECHNOLOGIES LTD                ,HCLTECH,NSE:HCLTECH!1
AMBUJACEM,1800,5,54000,Non-Energy Minerals,Construction Materials,,,,,AMBUJA CEMENTS LTD                  ,AMBUJACEM,NSE:AMBUJACEM!1
HDFCBANK,550,10,16500,Finance,Regional Banks,,,,,HDFC BANK LTD                       ,HDFCBANK,NSE:HDFCBANK!1
HDFCLIFE,1100,10,33000,Finance,Multi-Line Insurance,,,,,HDFC LIFE INS CO LTD                ,HDFCLIFE,NSE:HDFCLIFE!1
ICICIPRULI,1500,5,45000,Finance,Life/Health Insurance,,,,,ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,NSE:ICICIPRULI!1
IDFC,5000,1,200000,Finance,Investment Managers,,,,,IDFC LIMITED                        ,IDFC,NSE:IDFC!1
IDFCFIRSTB,7500,1,300000,Finance,Regional Banks,,,,,IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,NSE:IDFCFIRSTB!1
