SYMBOL,TradingView_Symbol,Vwap_Regn_Zone,Vwap_Regn_Cross,Vol_Suptd_Zone
NATIONALUM,NSE:NATIONALUM1!,,,
NAUKRI,NSE:NAUKRI1!,,,
NAVINFLUOR,NSE:NAVINFLUOR1!,,,
NESTLEIND,NSE:NESTLEIND1!,,,
NMDC,NSE:NMDC1!,,,
NTPC,NSE:NTPC1!,,,
OBEROIRLTY,NSE:OBEROIRLTY1!,,,
OFSS,NSE:OFSS1!,,,
ONGC,NSE:ONGC1!,,,
PAGEIND,NSE:PAGEIND1!,,,
PEL,NSE:PEL1!,,,
PERSISTENT,NSE:PERSISTENT1!,,,
PETRONET,NSE:PETRONET1!,,,
PFC,NSE:PFC1!,,,
PIDILITIND,NSE:PIDILITIND1!,,,
PIIND,NSE:PIIND1!,,,
PNB,NSE:PNB1!,,,
POLYCAB,NSE:POLYCAB1!,,,
POWERGRID,NSE:POWERGRID1!,,,
PVRINOX,NSE:PVRINOX1!,,,
RAMCOCEM,NSE:RAMCOCEM1!,,,
RBLBANK,NSE:RBLBANK1!,,,
RECLTD,NSE:RECLTD1!,,,
RELIANCE,NSE:RELIANCE1!,,,
SAIL,NSE:SAIL1!,,,
SBICARD,NSE:SBICARD1!,,,
SBILIFE,NSE:SBILIFE1!,,,
SBIN,NSE:SBIN1!,,,
SHREECEM,NSE:SHREECEM1!,,,
SHRIRAMFIN,NSE:SHRIRAMFIN1!,,,
SIEMENS,NSE:SIEMENS1!,,,
SRF,NSE:SRF1!,,,
SUNPHARMA,NSE:SUNPHARMA1!,,,
SUNTV,NSE:SUNTV1!,,,
SYNGENE,NSE:SYNGENE1!,,,
TATACHEM,NSE:TATACHEM1!,,,
TATACOMM,NSE:TATACOMM1!,,,
TATACONSUM,NSE:TATACONSUM1!,,,
TATAMOTORS,NSE:TATAMOTORS1!,,,
TATAPOWER,NSE:TATAPOWER1!,,,
TATASTEEL,NSE:TATASTEEL1!,,,
TCS,NSE:TCS1!,,,
TECHM,NSE:TECHM1!,,,
TITAN,NSE:TITAN1!,,,
